Dialogue ID,Chapter ID,Place ID,Character ID,Dialogue,Chapter Name,Movie ID,Movie Chapter,Movie Title,Release Year,Runtime,Budget,Box Office,Place Name,Place Category,Character Name,Species,Gender,House,Patronus,Wand (Wood),Wand (Core)
467,18,34,41,Perhaps you ought to go...M-might wake up...heh.  Ahh! Hehe....,Mountain Troll,1,18,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,First-Floor Girls' Toilets,Hogwarts,Quirinus Quirrell,Human,Male,Ravenclaw,Unknown,Alder,Unicorn Hair
468,18,34,1,Good for you to get us out of trouble like that.,Mountain Troll,1,18,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,First-Floor Girls' Toilets,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
469,18,34,2,"Mind you, I mean, we did save her life.",Mountain Troll,1,18,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,First-Floor Girls' Toilets,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
470,18,34,1,"Mind you, she didn't need saving if you hadn't insulted her.",Mountain Troll,1,18,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,First-Floor Girls' Toilets,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
471,18,34,2,What are friends for?,Mountain Troll,1,18,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,First-Floor Girls' Toilets,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
472,19,36,2,"Take a bit of toast, mate, go on.",Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Great Hall,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
473,19,36,3,"Ron's right, Harry. You're gonna need your strength today.",Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Great Hall,Hogwarts,Hermione Granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring
474,19,36,1,I'm not hungry.,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Great Hall,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
475,19,36,6,"Good luck today, Potter. Then again, now that you've proven yourself against a troll, a little game of Quidditch should be easy work for you...even if it is against Slytherin.",Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Great Hall,Hogwarts,Severus Snape,Human,Male,Slytherin,Doe,Unknown,Unknown
476,19,36,1,That explains the blood.,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Great Hall,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
477,19,36,3,Blood?,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Great Hall,Hogwarts,Hermione Granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring
478,19,36,1,"Listen, last night, I'm guessing Snape let the troll in as a diversion so he could try and get past that 3 headed dog. But, he got himself bitten, that's why he's limping.",Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Great Hall,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
479,19,36,3,But why would anyone go near that dog?,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Great Hall,Hogwarts,Hermione Granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring
480,19,36,1,"The day I was at Gringotts, Hagrid took something out of one of the vaults. He said it was Hogwarts' business, very secret.",Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Great Hall,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
481,19,36,3,So you're saying...,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Great Hall,Hogwarts,Hermione Granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring
482,19,36,1,That's what the dog's guarding. That's what Snape wants.,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Great Hall,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
483,19,36,3,"Bit early for mail, isn't it?",Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Great Hall,Hogwarts,Hermione Granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring
484,19,36,1,But I-I never get mail.,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Great Hall,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
485,19,36,2,Let's open it.,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Great Hall,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
486,19,36,1,It's a broomstick!,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Great Hall,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
487,19,36,2,"Thats not just any broomstick, Harry.  It's a Nimbus 2000!",Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Great Hall,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
488,19,36,1,But who...?,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Great Hall,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
489,19,51,46,"Scared, Harry?",Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Oliver Wood,Human,Male,Gryffindor,Unknown,Unknown,Unknown
490,19,51,1,A little.,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
491,19,51,46,That's all right. I felt the same way before my first game.,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Oliver Wood,Human,Male,Gryffindor,Unknown,Unknown,Unknown
492,19,51,1,What happened?,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
493,19,51,46,"Er, I don't really remember. I took a bludger to the head 2 minutes in. Woke up in the hospital a week later.",Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Oliver Wood,Human,Male,Gryffindor,Unknown,Unknown,Unknown
494,19,51,52,"Hello, and welcome to Hogwarts' first Quidditch game of the season! Today's game Slytherin versus Gryffindor!!!",Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Lee Jordan,Human,Male,Gryffindor,Unknown,Unknown,Unknown
495,19,51,10,Gryffindor!,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Neville Longbottom,Human,Male,Gryffindor,Unknown,Cherry,Unicorn Hair
496,19,51,52,The players take their positions as Madam Hooch steps out onto the field to begin the game.,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Lee Jordan,Human,Male,Gryffindor,Unknown,Unknown,Unknown
497,19,51,50,"Now, I want a nice clean game...from all of you.",Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Rolanda Hooch,Human,Female,Gryffindor,Unknown,Unknown,Unknown
498,19,51,52,"The bludgers are up...followed by the Golden Snitch. Remember, the snitch is worth 150 points. The seeker who catches the Snitch ends the game.",Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Lee Jordan,Human,Male,Gryffindor,Unknown,Unknown,Unknown
499,19,51,52,The Quaffle is released...and the game begins!,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Lee Jordan,Human,Male,Gryffindor,Unknown,Unknown,Unknown
500,19,51,52,Angelina Johnson scores! 10 points for Gryffindor!,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Lee Jordan,Human,Male,Gryffindor,Unknown,Unknown,Unknown
501,19,51,1,Yes!  Whoa!,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
502,19,51,5,Well done!,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
503,19,51,52,Slytherin takes possession of the Quaffle. Bletchley passes to Captain Marcus Flint.,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Lee Jordan,Human,Male,Gryffindor,Unknown,Unknown,Unknown
504,19,51,2,Yay!,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
505,19,51,29,Yay!,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Seamus Finnigan,Human,Male,Gryffindor,Fox,Unknown,Unknown
506,19,51,1,Yes!,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
507,19,51,52,Another 10 points to Gryffindor!,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Lee Jordan,Human,Male,Gryffindor,Unknown,Unknown,Unknown
508,19,51,165,Yay!,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Gryffindors,Human,Male,Gryffindor,Unknown,Unknown,Unknown
509,19,51,82,Give me that!,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Marcus Flint,Human,Male,Slytherin,Unknown,Unknown,Unknown
510,19,51,82,Take that side!,Quidditch,1,19,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Marcus Flint,Human,Male,Slytherin,Unknown,Unknown,Unknown
511,20,51,1,Whoa! Whooa!,Interference Overcome,1,20,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
512,20,51,5,What's going on with Harry's broomstick?,Interference Overcome,1,20,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
513,20,51,3,It's Snape! He's jinxing the broom!,Interference Overcome,1,20,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Hermione Granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring
514,20,51,2,Jinxing the broom? What do we do?,Interference Overcome,1,20,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
515,20,51,3,Leave it to me.,Interference Overcome,1,20,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Hermione Granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring
516,20,51,2,"Come on, Hermione!",Interference Overcome,1,20,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
517,20,51,3,Lacarnum Inflamarae.,Interference Overcome,1,20,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Hermione Granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring
518,20,51,139,Fire! You're on fire!,Interference Overcome,1,20,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Man,Human,Male,Gryffindor,Unknown,Unknown,Unknown
519,20,51,6,What? Oh!,Interference Overcome,1,20,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Severus Snape,Human,Male,Slytherin,Doe,Unknown,Unknown
520,20,51,2,Go!,Interference Overcome,1,20,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
521,20,51,5,Go go go!,Interference Overcome,1,20,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
522,20,51,5,Looks like he's gonna be sick!,Interference Overcome,1,20,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
523,20,51,52,He's got the Snitch! Harry Potter receives 150 points for catching the Snitch!,Interference Overcome,1,20,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Lee Jordan,Human,Male,Gryffindor,Unknown,Unknown,Unknown
524,20,51,50,Gryffindor win!,Interference Overcome,1,20,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Rolanda Hooch,Human,Female,Gryffindor,Unknown,Unknown,Unknown
525,20,51,12,No!,Interference Overcome,1,20,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Draco Malfoy,Human,Male,Slytherin,Unknown,Hawthorn,Unicorn Hair
526,20,51,5,Yes!,Interference Overcome,1,20,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
527,20,51,3,Whoo-hoo!,Interference Overcome,1,20,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Hermione Granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring
528,20,51,164,Go go Gryffindor! Go go Gryffindor! Go go Gryffindor! Go go Gryffindor!,Interference Overcome,1,20,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Quidditch Pitch,Hogwarts,Crowd,Human,Male,Gryffindor,Unknown,Unknown,Unknown
529,21,40,5,Nonsense! Why would Snape put a curse on Harry's broom?,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hagrid's Hut,Hogwarts,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
530,21,40,1,Who knows? Why was he trying to get past that three-headed dog on Halloween?,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hagrid's Hut,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
531,21,40,5,Who told you about Fluffy?,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hagrid's Hut,Hogwarts,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
532,21,40,2,Fluffy?,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hagrid's Hut,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
533,21,40,3,That thing has a name?,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hagrid's Hut,Hogwarts,Hermione Granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring
534,21,40,5,"Well, of course he's got a name. He's mine. I bought him off an Irish feller I met down at the pub last year. Then I lent him to Dumbledore to guard the..",Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hagrid's Hut,Hogwarts,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
535,21,40,1,Yes?,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hagrid's Hut,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
536,21,40,5,"Shouldn't have said that. No more questions! Don't ask any more questions. That's top secret, that is.",Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hagrid's Hut,Hogwarts,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
537,21,40,1,"But, Hagrid, whatever Fluffy's guarding, Snape's trying to steal it.",Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hagrid's Hut,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
538,21,40,5,Codswallop. Professor Snape is a Hogwarts teacher.,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hagrid's Hut,Hogwarts,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
539,21,40,3,"Hogwarts teacher or not, I know a spell when I see one. I've read all about them. You've got to keep eye contact and Snape wasn't blinking.",Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hagrid's Hut,Hogwarts,Hermione Granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring
540,21,40,1,Exactly.,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hagrid's Hut,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
541,21,40,5,"Now, you listen to me, all three of you. You're meddling in things that ought not to be meddled in. It's dangerous. What that dog is guarding is strictly between Dumbledore and Nicholas Flamel.",Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hagrid's Hut,Hogwarts,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
542,21,40,1,Nicholas Flamel?,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hagrid's Hut,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
543,21,40,5,I shouldn't said that. I should not have said that.,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hagrid's Hut,Hogwarts,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
544,21,40,1,Nicholas Flamel.  Who's Nicholas Flamel?,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hagrid's Hut,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
545,21,40,3,I don't know.,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Hagrid's Hut,Hogwarts,Hermione Granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring
546,21,39,158,Merry Christmas. Merry Christmas. Ring the Hogwart bell. Merry Christmas. Merry Christmas...,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Man in a painting,Human,Male,Gryffindor,Unknown,Unknown,Unknown
547,21,39,1,Knight to E5.,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
548,21,39,2,Queen to E5.,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
549,21,39,3,That's totally barbaric!,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Hermione Granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring
550,21,39,2,That's wizard's chess.  I see you've packed.,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
551,21,39,3,See you haven't.,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Hermione Granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring
552,21,39,2,"Change of plans, my parents decided to go to Romania to visit my brother Charlie. He's studying dragons there.",Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
553,21,39,3,"Good, you can help Harry, then. He's going to go and look in the library for information on Nicholas Flamel.",Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Hermione Granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring
554,21,39,2,We've looked a hundred times.,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
555,21,39,3,Not in the restricted section. Happy Christmas.,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Hermione Granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring
556,21,39,2,I think we've had a bad influence on her.,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
557,21,39,2,"Harry wake up! Come on Harry, wake up!",Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
558,21,39,2,"Happy Christmas, Harry.",Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
559,21,39,1,"Happy Christmas, Ron.  What are you wearing?",Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
560,21,39,2,Oh. My mum made it.  It looks like you've got one too.,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
561,21,39,1,I-I've got presents?,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
562,21,39,2,Yeah!,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
563,21,39,2,There they are.,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
564,21,39,1,Your father left this in my possession before he died. It is time it was returned to you. Use it well.,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
565,21,39,2,What is it?,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
566,21,39,1,It's some kind of cloak.,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
567,21,39,2,"Well, let's see then, put it on.",Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
568,21,39,2,Whoa!,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
569,21,39,1,My body's gone!,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
570,21,39,2,I know what that is. That's an invisibility cloak.,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
571,21,39,1,I'm invisible?,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
572,21,39,2,They're really rare.  I wonder who gave it to you?,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Ron Weasley,Human,Male,Gryffindor,Jack Russell Terrier,Unknown,Unknown
573,21,39,1,There was no name. It just said use it well.,Christmas Gift,1,21,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Griffindor Common Room,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
574,22,54,1,Famous fire eaters...15th Century Fiends...Flamel...Nicholas Flamel...where are you?,Cloaked in darkness,1,22,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Restricted Section,Hogwarts,Harry Potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather
575,22,54,35,Who's there?!  I know you're in there. You can't hide.  Who is it? Show yourself!,Cloaked in darkness,1,22,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Restricted Section,Hogwarts,Argus Filch,Human,Male,Gryffindor,Unknown,Unknown,Unknown
576,22,54,41,Severus...I-I thought...,Cloaked in darkness,1,22,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,Restricted Section,Hogwarts,Quirinus Quirrell,Human,Male,Ravenclaw,Unknown,Alder,Unicorn Hair
